URAU_CODE,URAU_CATG,CNTR_CODE,URAU_NAME,CITY_CPTL,FUA_CODE,AREA_SQM,NUTS3_2021,FID
NL005C,C,NL,Alphen aan den Rijn,,NL005F,132422326.439074,NL33B,NL005C
NL006C,C,NL,Amersfoort,,NL006F,63797265.267678,NL310,NL006C
NL007C,C,NL,Apeldoorn,,NL007F,341154215.623783,NL221,NL007C
NL008C,C,NL,Arnhem,,NL008F,109351622.776036,NL226,NL008C
NL009C,C,NL,Assen,,NL009F,83438062.461872,NL131,NL009C
NL010C,C,NL,Bergen op Zoom,,NL010F,93135434.463835,NL411,NL010C
NL011C,C,NL,Breda,,NL011F,128724138.88161,NL411,NL011C
NL012C,C,NL,Deventer,,NL012F,134436957.599585,NL212,NL012C
NL013C,C,NL,Ede,,NL013F,351093073.603671,NL221,NL013C
NL014C,C,NL,Eindhoven,,NL014F,120791083.041866,NL414,NL014C
NL015C,C,NL,Enschede,,NL015F,142766126.261294,NL213,NL015C
NL016C,C,NL,Gouda,,NL016F,18094394.212437,NL33B,NL016C
NL017C,C,NL,'s-Gravenhage,,NL017F,158784866.47523,NL332,NL017C
NL018C,C,NL,Groningen,,NL018F,197862019.320698,NL113,NL018C
NL019C,C,NL,Haarlem,,NL001F,131615059.587447,NL324,NL019C
NL020C,C,NL,Haarlemmermeer,,NL001F,206340301.349162,NL329,NL020C
NL021C,C,NL,Heemskerk,,NL001F,68928084.213217,NL323,NL021C
NL022C,C,NL,Heerlen,,NL022F,109551477.383116,NL423,NL022C
NL023C,C,NL,Helmond,,NL014F,54793212.274993,NL414,NL023C
NL024C,C,NL,Hengelo,,NL015F,61766630.083133,NL213,NL024C
NL025C,C,NL,'s-Hertogenbosch,,NL025F,117773301.637655,NL413,NL025C
NL026C,C,NL,Hilversum,,NL001F,46468769.185786,NL327,NL026C
NL027C,C,NL,Hoorn,,NL001F,53358630.379498,NL321,NL027C
NL028C,C,NL,Leeuwarden,,NL028F,255630698.423093,NL124,NL028C
NL029C,C,NL,Leiden,,NL029F,81208834.621747,NL337,NL029C
NL030C,C,NL,Lelystad,,NL030F,765462923.866899,NL230,NL030C
NL031C,C,NL,Maastricht,,NL031F,60072195.421718,NL423,NL031C
NL032C,C,NL,Middelburg       ,,NL032F,88261563.130647,NL342,NL032C
NL033C,C,NL,Nijmegen,,NL033F,57561713.388423,NL226,NL033C
NL034C,C,NL,Nissewaard,,NL037F,107579708.513916,NL33C,NL034C
NL035C,C,NL,Oss,,NL035F,170963582.623703,NL413,NL035C
NL036C,C,NL,Purmerend,,NL001F,24577674.735636,NL329,NL036C
NL037C,C,NL,Rotterdam,,NL037F,562733118.219429,NL33C,NL037C
NL038C,C,NL,Roosendaal,,NL038F,107266736.568374,NL411,NL038C
NL039C,C,NL,Sittard-Geleen,,NL039F,103502242.47151,NL423,NL039C
NL040C,C,NL,Soest,,NL040F,79549568.711294,NL310,NL040C
