DATAFLOW,LAST UPDATE,freq,indic_ur,cities,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,AT,2013,8451860,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,AT,2014,8507786,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE,2013,11161642,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE,2014,11203992,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE,2015,11258434,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE,2016,11307192,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE,2017,11351727,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE,2018,11398589,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE,2019,11455519,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE,2020,11522440,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE,2021,11554767,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE001F,2014,2607961,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE001F,2015,2611393,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE001F,2016,2625525,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE001F,2017,2651879,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE001F,2018,2667824,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE001F,2019,2688354,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE001F,2020,2708766,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE001F,2021,3331496,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE002F,2013,1086952,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE002F,2014,1090650,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE002F,2015,1094758,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE002F,2016,1100139,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE002F,2017,1106422,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE002F,2018,1111919,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE002F,2019,1118480,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BE002F,2020,1125878,
